x, y, x/y, f
1.0,1.0,1.0,0.3095598756531122
1.0909090909090908,1.0,1.0909090909090908,0.2943668235497519
1.1818181818181819,1.0,1.1818181818181819,0.2705548139661808
1.2727272727272727,1.0,1.2727272727272727,0.24080470176524107
1.3636363636363635,1.0,1.3636363636363635,0.2078451214078023
1.4545454545454546,1.0,1.4545454545454546,0.17415989982679128
1.5454545454545454,1.0,1.5454545454545454,0.14178650791251007
1.6363636363636365,1.0,1.6363636363636365,0.11221253822019832
1.7272727272727273,1.0,1.7272727272727273,0.08636091418433779
1.8181818181818181,1.0,1.8181818181818181,0.0646436616306815
1.9090909090909092,1.0,1.9090909090909092,0.04705921885887155
2.0,1.0,2.0,0.03330872662438875
2.090909090909091,1.0,2.090909090909091,0.022910994818800788
2.1818181818181817,1.0,2.1818181818181817,0.015302068408545975
2.272727272727273,1.0,2.272727272727273,0.009911852007895308
2.3636363636363638,1.0,2.3636363636363638,0.006215887799788588
2.4545454545454546,1.0,2.4545454545454546,0.003764452970819591
2.5454545454545454,1.0,2.5454545454545454,0.0021934918915592957
2.6363636363636362,1.0,2.6363636363636362,0.0012227329489196655
2.727272727272727,1.0,2.727272727272727,0.0006460672628392113
2.8181818181818183,1.0,2.8181818181818183,0.0003183426405712739
2.909090909090909,1.0,2.909090909090909,0.0001415506947136043
3.0,1.0,3.0,5.224677764213656e-5
3.090909090909091,1.0,3.090909090909091,1.1108104745819302e-5
3.1818181818181817,1.0,3.1818181818181817,5.131886105106007e-6
3.272727272727273,1.0,3.272727272727273,9.544755800680049e-6
3.3636363636363638,1.0,3.3636363636363638,9.037402551661586e-6
3.4545454545454546,1.0,3.4545454545454546,6.981315637823978e-6
3.5454545454545454,1.0,3.5454545454545454,4.83999298130874e-6
3.6363636363636362,1.0,3.6363636363636362,3.1222567044163466e-6
3.727272727272727,1.0,3.727272727272727,1.907522518837937e-6
3.8181818181818183,1.0,3.8181818181818183,1.1147015964093526e-6
3.909090909090909,1.0,3.909090909090909,6.268963062884612e-7
4.0,1.0,4.0,3.406676041497959e-7
4.090909090909091,1.0,4.090909090909091,1.7937766846034837e-7
